Team,W-L,TotalDVOARankteam1,TotalDVOAteam1,WeightedDVOARankteam1,WeightedDVOAteam1,OffenseDVOARankteam1,Offense DVOAteam1,OffenseWeightedDVOARankteam1,OffenseWeightedDVOAteam1,DefenseDVOARankteam1,DefenseDVOAteam1,DefenseWeightedDVOARankteam1,DefenseWeightedDVOAteam1,SpecialTeamsDVOARankteam1,Special Teams DVOA,SpecialTeamsWeightedDVOARankteam1,SpecialTeamsWeightedDVOAteam1,Team 2,W-L.1,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA.1,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA,Home 1st team,Team1ML,Team2ML
TEN,0.0000,12.0000,0.0800,12.0000,0.0800,3.0000,0.2400,3.0000,0.2500,28.0000,0.0900,27.0000,0.1000,30.0000,-0.0700,30.0000,-0.0700,CLE,1.0000,22.0000,-0.1000,22.0000,-0.0900,16.0000,0.0100,16.0000,0.0000,19.0000,0.0700,20.0000,0.0600,27.0000,-0.0400,26.0000,-0.0400,1.0000,-210.0000,180.0000
ARI,0.0000,13.0000,0.0500,13.0000,0.0700,13.0000,0.0400,13.0000,0.0400,11.0000,-0.0500,10.0000,-0.0700,26.0000,-0.0300,27.0000,-0.0400,LAR,1.0000,6.0000,0.1700,5.0000,0.1700,7.0000,0.1100,7.0000,0.0900,6.0000,-0.1200,3.0000,-0.1500,29.0000,-0.0600,29.0000,-0.0700,1.0000,130.0000,-150.0000
SF,0.0000,14.0000,0.0500,14.0000,0.0400,19.0000,-0.0100,19.0000,-0.0300,9.0000,-0.0600,9.0000,-0.0700,16.0000,0.0000,16.0000,0.0000,BUF,1.0000,11.0000,0.1000,10.0000,0.1200,8.0000,0.0800,9.0000,0.0700,16.0000,0.0100,16.0000,-0.0100,8.0000,0.0400,6.0000,0.0400,1.0000,-125.0000,105.0000
MIN,1.0000,15.0000,0.0400,15.0000,0.0200,9.0000,0.0700,8.0000,0.0700,12.0000,-0.0400,12.0000,-0.0400,31.0000,-0.0800,31.0000,-0.0900,JAX,0.0000,29.0000,-0.2100,28.0000,-0.2200,23.0000,-0.0700,25.0000,-0.1000,32.0000,0.1500,31.0000,0.1400,13.0000,0.0100,11.0000,0.0200,1.0000,-500.0000,400.0000
HOU,0.0000,17.0000,-0.0300,19.0000,-0.0400,11.0000,0.0500,11.0000,0.0500,25.0000,0.0800,25.0000,0.0900,17.0000,0.0000,17.0000,0.0000,IND,1.0000,7.0000,0.1600,7.0000,0.1600,17.0000,0.0100,14.0000,0.0200,8.0000,-0.1100,7.0000,-0.1100,9.0000,0.0300,12.0000,0.0200,1.0000,150.0000,-170.0000
LV,1.0000,18.0000,-0.0400,18.0000,-0.0400,14.0000,0.0300,17.0000,-0.0100,20.0000,0.0700,18.0000,0.0500,14.0000,0.0100,13.0000,0.0200,NYJ,0.0000,32.0000,-0.3900,32.0000,-0.4000,31.0000,-0.2500,31.0000,-0.2600,27.0000,0.0900,26.0000,0.1000,28.0000,-0.0500,28.0000,-0.0500,0.0000,-360.0000,300.0000
CHI,0.0000,19.0000,-0.0500,17.0000,-0.0400,28.0000,-0.1900,30.0000,-0.2000,4.0000,-0.1300,5.0000,-0.1400,11.0000,0.0200,10.0000,0.0300,DET,1.0000,24.0000,-0.1400,25.0000,-0.1700,20.0000,-0.0200,21.0000,-0.0400,30.0000,0.1100,30.0000,0.1100,18.0000,0.0000,21.0000,-0.0100,1.0000,-155.0000,135.0000
ATL,0.0000,20.0000,-0.0700,20.0000,-0.0500,22.0000,-0.0500,22.0000,-0.0600,15.0000,0.0000,15.0000,-0.0300,22.0000,-0.0200,24.0000,-0.0100,NO,1.0000,1.0000,0.3800,1.0000,0.4300,5.0000,0.1300,5.0000,0.1300,2.0000,-0.2100,2.0000,-0.2500,5.0000,0.0400,5.0000,0.0500,1.0000,125.0000,-145.0000
WAS,1.0000,21.0000,-0.0700,21.0000,-0.0500,27.0000,-0.1800,26.0000,-0.1600,5.0000,-0.1200,6.0000,-0.1200,21.0000,-0.0100,19.0000,-0.0100,PIT,0.0000,2.0000,0.3000,2.0000,0.3200,15.0000,0.0200,15.0000,0.0200,1.0000,-0.2600,1.0000,-0.2800,12.0000,0.0100,15.0000,0.0100,0.0000,220.0000,-260.0000
CLE,1.0000,22.0000,-0.1000,22.0000,-0.0900,16.0000,0.0100,16.0000,0.0000,19.0000,0.0700,20.0000,0.0600,27.0000,-0.0400,26.0000,-0.0400,TEN,0.0000,12.0000,0.0800,12.0000,0.0800,3.0000,0.2400,3.0000,0.2500,28.0000,0.0900,27.0000,0.1000,30.0000,-0.0700,30.0000,-0.0700,0.0000,180.0000,-210.0000
NE,1.0000,23.0000,-0.1200,24.0000,-0.1300,21.0000,-0.0400,20.0000,-0.0400,31.0000,0.1300,32.0000,0.1500,4.0000,0.0500,4.0000,0.0600,LAC,0.0000,26.0000,-0.1600,27.0000,-0.2000,12.0000,0.0500,10.0000,0.0500,23.0000,0.0800,29.0000,0.1100,32.0000,-0.1300,32.0000,-0.1400,0.0000,115.0000,-135.0000
DET,1.0000,24.0000,-0.1400,25.0000,-0.1700,20.0000,-0.0200,21.0000,-0.0400,30.0000,0.1100,30.0000,0.1100,18.0000,0.0000,21.0000,-0.0100,CHI,0.0000,19.0000,-0.0500,17.0000,-0.0400,28.0000,-0.1900,30.0000,-0.2000,4.0000,-0.1300,5.0000,-0.1400,11.0000,0.0200,10.0000,0.0300,0.0000,135.0000,-155.0000
NYG,1.0000,25.0000,-0.1500,23.0000,-0.1300,25.0000,-0.1200,24.0000,-0.0900,21.0000,0.0700,21.0000,0.0700,7.0000,0.0400,8.0000,0.0400,SEA,0.0000,9.0000,0.1500,8.0000,0.1400,4.0000,0.1600,4.0000,0.1500,26.0000,0.0900,24.0000,0.0800,3.0000,0.0700,3.0000,0.0700,0.0000,475.0000,-650.0000
LAC,0.0000,26.0000,-0.1600,27.0000,-0.2000,12.0000,0.0500,10.0000,0.0500,23.0000,0.0800,29.0000,0.1100,32.0000,-0.1300,32.0000,-0.1400,NE,1.0000,23.0000,-0.1200,24.0000,-0.1300,21.0000,-0.0400,20.0000,-0.0400,31.0000,0.1300,32.0000,0.1500,4.0000,0.0500,4.0000,0.0600,1.0000,-135.0000,115.0000
PHI,0.0000,27.0000,-0.1900,26.0000,-0.1700,30.0000,-0.2000,29.0000,-0.1900,13.0000,-0.0200,14.0000,-0.0400,19.0000,-0.0100,22.0000,-0.0100,GB,1.0000,5.0000,0.1800,6.0000,0.1700,2.0000,0.2700,2.0000,0.2600,18.0000,0.0700,19.0000,0.0600,25.0000,-0.0200,25.0000,-0.0300,0.0000,350.0000,-420.0000
DAL,0.0000,28.0000,-0.1900,29.0000,-0.2200,26.0000,-0.1300,27.0000,-0.1700,24.0000,0.0800,23.0000,0.0800,10.0000,0.0200,9.0000,0.0300,BAL,1.0000,8.0000,0.1500,11.0000,0.1000,24.0000,-0.0700,23.0000,-0.0900,7.0000,-0.1100,8.0000,-0.1000,2.0000,0.1000,2.0000,0.1000,0.0000,340.0000,-410.0000
JAX,0.0000,29.0000,-0.2100,28.0000,-0.2200,23.0000,-0.0700,25.0000,-0.1000,32.0000,0.1500,31.0000,0.1400,13.0000,0.0100,11.0000,0.0200,MIN,1.0000,15.0000,0.0400,15.0000,0.0200,9.0000,0.0700,8.0000,0.0700,12.0000,-0.0400,12.0000,-0.0400,31.0000,-0.0800,31.0000,-0.0900,0.0000,400.0000,-500.0000
DEN,0.0000,30.0000,-0.2400,30.0000,-0.2500,32.0000,-0.2800,32.0000,-0.2900,10.0000,-0.0600,11.0000,-0.0600,24.0000,-0.0200,23.0000,-0.0100,KC,1.0000,4.0000,0.2500,3.0000,0.2700,1.0000,0.3000,1.0000,0.3200,17.0000,0.0300,17.0000,0.0400,23.0000,-0.0200,20.0000,-0.0100,0.0000,650.0000,-1000.0000
CIN,0.0000,31.0000,-0.2500,31.0000,-0.2500,29.0000,-0.1900,28.0000,-0.1800,29.0000,0.1000,28.0000,0.1100,6.0000,0.0400,7.0000,0.0400,MIA,1.0000,10.0000,0.1000,9.0000,0.1300,18.0000,-0.0100,18.0000,-0.0200,14.0000,-0.0100,13.0000,-0.0400,1.0000,0.1000,1.0000,0.1200,0.0000,400.0000,-500.0000
NYJ,0.0000,32.0000,-0.3900,32.0000,-0.4000,31.0000,-0.2500,31.0000,-0.2600,27.0000,0.0900,26.0000,0.1000,28.0000,-0.0500,28.0000,-0.0500,LV,1.0000,18.0000,-0.0400,18.0000,-0.0400,14.0000,0.0300,17.0000,-0.0100,20.0000,0.0700,18.0000,0.0500,14.0000,0.0100,13.0000,0.0200,1.0000,300.0000,-360.0000
